1101004046,1101004006
1101004226,1101004015
1101004062,1101004055
1101001256,1101001095
1101001265,1101001056
1101002081,1101002126
1101003208,1101003085
1101003099,1101003009
1101003080,1101003135
1101003146,1101003150
1101003188,1101003007
1101003195,1101003039
1101005038,1101005028
1101005098,1101005072
1103002106,1103002046
1103003042,1103003006
1105001048,1105001001
1105001069,1105001049
1105010019,1105010010
1105002091,1105002045
1102002424,1102002124
1102002136,1102002007
1102003080,1102003001
1102005064,1102005045
1102105012,1102105003
1101001213,1101001232
1101005091,1101005001
1101006075,1101006005
1101006062,1101006021
1101007062,1101007047
1101100011,1101100004
1103001179,1103001026
1103002087,1103002033
1103012010,1103012011
1103007028,1103007010
1104004035,1104004024
1104004041,1104004028
1102001130,1102001090
1104003037,1104003035
1101001242,1101001092
1101003167,1101003004
1101008146,1101008087
1101004209,1101004067
1101004138,1101004030
1101008026,1101008129
